keyword,created_at,text,username,hashtag,hashtag_occurence
Doctor,2021-07-23 13:06:11,"RT @WritesBright: ""If it’s coming from a spin doctor at No 10 then I don’t think we’d call that impartiality"". 

Top quality from Emily Mai…",Raycspike,,246
Doctor,2021-07-23 13:06:11,"RT @DalbidEU: @doctor_oxford They disrespect the whole HoC. Repeated warnings, repeatedly ignored, no scrutiny on issues of massive importa…",alangriffith8,,246
Doctor,2021-07-23 13:06:11,"RT @MCU_Direct: Director #SamRaimi encouraged improvisation while filming the #DoctorStrange2, reveals #BenedictWong: ""We're having a lot o…",SoloAvengers,SamRaimi,1
Doctor,2021-07-23 13:06:11,"@aracnida36 @Sergi79 @Fourty35 Y Abalos ? Ese no ha prevaricado ? 
Calla fascista , recuerda los “miles” de millone… https://t.co/7gneAj6aY4",delgalinearoja,,246
Doctor,2021-07-23 13:06:10,@PurelyFootball I am a doctor and I want to see more of Ronaldos and messis..otherwise life is boring🙏🙏,Saikarthik1jeg,,246
Doctor,2021-07-23 13:06:10,RT @acervobigbig: A MAIOR🚨 Flávia Big Big poderá aparecer como Jean Grey em ‘Doctor Strange in the Multiverse of Madness’. https://t.co/Ra7…,mathfelipi_,,246
Doctor,2021-07-23 13:06:09,"RT @superboycheque: Doctor says BABY OUT NOW!!! 🤎🏹🚨
https://t.co/pOp8FooxAs

(Mother and baby doing fine 🤪) https://t.co/ReakxrGfeN",Dlaureate,,246
Doctor,2021-07-23 13:06:09,RT @ChrisJZullo: Remember Rep. Jim Jordan denied knowing about abuse allegations from team doctor Richard Strauss who abused 117 students o…,GaryGHoward1,,246
Doctor,2021-07-23 13:06:08,RT @MogTheConfessor: They didn't show how Moya got pregnant in the first place in Farscape but it seems like the thirteenth doctor might ha…,HorzaEdeo,,246
Doctor,2021-07-23 13:06:08,"RT @subirath: Doctor, ¿cómo fue el parto?
- Salió todo bien, pero al bebé le tuvimos que poner oxígeno.
- ¿Pero usted está loco? ¡Yo quería…",Garnava1,,246
Doctor,2021-07-23 13:06:08,@CyberdyneIntern @LJU3 @NPR She’s not even a doctor as they want you to think she is. She has a PhD in some education field.,TimothyJBaile,,246
Doctor,2021-07-23 13:06:06,"@FanaTeresafana That’s so wrong, what doctor allowed that or did they just go without doctor consent. CHILDREN ARE… https://t.co/VM7RMLP9iL",MikeP78555306,,246
Doctor,2021-07-23 13:06:05,"RT @thevibesnews: JUST IN

S'gor health director Datuk Sha’ari Ngadiman has made light of the slew of doctor resignations, claiming that th…",apizadlan,,246
Doctor,2021-07-23 13:06:04,@thumpernovember @CryptographerF8 @News3LV I’m not but I’m from here and this isn’t the good doctor’s first attention seeking article.,Colby_Knight,,246
Doctor,2021-07-23 13:06:04,@gottfriedmituns @IsraeldeSanGa @amoschicos @PokemonGomiarma @Xeliss @Alvisepf Pues si en la calle nadie se contagi… https://t.co/J5CzD31svY,indibininguin,,246
Doctor,2021-07-23 13:06:04,"I loved the gate of ivory and two bit heroes a ""normal amount and admire the author Doris Egan.

I silently squeed… https://t.co/nk8X2Gn3jd",eSZactLee,,246
Doctor,2021-07-23 13:06:03,Thank goodness for my primary care doctor,aballet12,,246
Doctor,2021-07-23 13:06:03,"@BrainAblaze 1. Medications - starting from 5am until 9pm often all night pain from #Gastroparesis malnutrition

2.… https://t.co/UX1FQEUtX2",phearlissdream1,Gastroparesis,1
Doctor,2021-07-23 13:06:03,"NEW: About 100 of the 613 Team USA athletes have not been vaccinated, NBC News reports, citing the team's top docto… https://t.co/EJFbvIzmMi",axios,,246
Doctor,2021-07-23 13:06:02,RT @bailey_jodie: Our 11 month old has tested positive for covid.We are back at home now but both the paramedic and doctor who treated us s…,AngeliqueSuzan1,,246
Doctor,2021-07-23 13:06:02,@Acyn The doctor asked me if I was on any anticoagulant for my first jab. I understand why they ask that now but ne… https://t.co/d7tBJQZRK5,DJ90958027,,246
Doctor,2021-07-23 13:06:02,"@Sujodamystique @iam_0sas @aproko_doctor If you started out being optimal,no problem really.
The problem is people… https://t.co/0W25jGFuQY",beautifulajike,,246
Doctor,2021-07-23 13:06:01,RT @Andrewkrash256: We all act like we don't fear an enjection but there is always that kasmall fearness especially when doctor points it a…,collin__slim,,246
Doctor,2021-07-23 13:06:01,"The story of our startup is as follows:
Female: Enjoying a normal day 😀 * queue debilitating period cramps*😰
*Googl… https://t.co/RYneAE7OFl",periodharmony,,246
Doctor,2021-07-23 13:06:00,"RT @spacetwinks: doctor: treatment is simple. go see orville, very funny clown

pagliacci: what about pagliacci?

doctor: pagliacci? man i…",bluntlevis,,246
Doctor,2021-07-23 13:05:59,im waiting for the eda deductions to drop because as we get to know more and more things about her she looks less l… https://t.co/j2UhaWVaqm,Haunterclere,,246
